Subject_name,100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
Aboriginal and Torres Strait Islander Studies,87.98,87.08,86.12,85.1,84.02,82.88,81.67,80.4,79.06,77.66,76.19,74.66,73.06,71.4,69.68,67.91,66.08,64.2,62.27,60.31,58.31,56.29,54.24,52.18,50.12,48.05,45.99,43.94,41.91,39.91,37.95,36.02,34.13,32.3,30.52,28.79,27.12,25.52,23.98,22.5,21.09,19.75,18.47,17.26,16.11,15.02,13.99,13.03,12.12,11.26,10.46,9.71,9.01,8.36,7.74,7.17,6.64,6.15,5.69,5.26,4.86,4.49,4.15,3.83,3.54,3.27,3.02,2.78,2.57,2.37,2.18,2.01,1.86,1.71,1.58,1.46,1.34,1.24,1.14,1.05,0.97,0.89,0.82,0.76,0.7,0.64,0.59,0.54,0.5,0.46,0.42,0.39,0.36,0.33,0.31,0.28,0.26,0.24,0.22,0.2,0.19
Accounting,95.25,94.95,94.64,94.31,93.95,93.58,93.19,92.77,92.33,91.87,91.38,90.86,90.32,89.74,89.14,88.51,87.84,87.15,86.41,85.65,84.85,84.01,83.13,82.22,81.27,80.27,79.24,78.18,77.07,75.92,74.74,73.51,72.25,70.95,69.62,68.26,66.86,65.43,63.97,62.49,60.98,59.46,57.91,56.35,54.77,53.19,51.6,50,48.41,46.82,45.23,43.66,42.09,40.55,39.02,37.51,36.03,34.57,33.14,31.75,30.38,29.05,27.75,26.49,25.27,24.08,22.93,21.83,20.76,19.73,18.74,17.78,16.87,15.99,15.16,14.35,13.59,12.86,12.16,11.49,10.86,10.26,9.68,9.14,8.62,8.13,7.67,7.23,6.81,6.42,6.05,5.7,5.36,5.05,4.75,4.47,4.21,3.96,3.72,3.5,3.29
Aerospace Systems,93.83,93.47,93.08,92.67,92.24,91.79,91.31,90.81,90.28,89.73,89.14,88.53,87.89,87.22,86.51,85.78,85.01,84.21,83.37,82.49,81.59,80.64,79.66,78.64,77.59,76.5,75.37,74.21,73.01,71.78,70.51,69.21,67.88,66.52,65.13,63.72,62.28,60.82,59.34,57.85,56.33,54.81,53.28,51.74,50.2,48.66,47.12,45.58,44.06,42.54,41.04,39.56,38.1,36.65,35.23,33.84,32.47,31.13,29.82,28.55,27.31,26.1,24.93,23.79,22.69,21.63,20.6,19.61,18.66,17.74,16.86,16.01,15.2,14.42,13.67,12.96,12.28,11.63,11.01,10.42,9.86,9.33,8.82,8.33,7.87,7.44,7.02,6.63,6.26,5.91,5.57,5.26,4.96,4.68,4.41,4.16,3.92,3.69,3.48,3.28,3.09
Agricultural Science,89.24,88.47,87.66,86.8,85.89,84.93,83.91,82.84,81.71,80.53,79.29,77.99,76.64,75.22,73.76,72.23,70.66,69.03,67.35,65.63,63.87,62.07,60.23,58.37,56.48,54.57,52.65,50.72,48.78,46.86,44.94,43.03,41.15,39.29,37.46,35.67,33.92,32.21,30.55,28.93,27.37,25.86,24.4,23.01,21.67,20.38,19.16,17.99,16.88,15.82,14.82,13.87,12.97,12.12,11.32,10.57,9.86,9.2,8.57,7.98,7.43,6.92,6.44,5.99,5.57,5.18,4.81,4.47,4.15,3.85,3.58,3.32,3.08,2.86,2.65,2.46,2.28,2.11,1.96,1.82,1.68,1.56,1.45,1.34,1.24,1.15,1.07,0.99,0.91,0.85,0.78,0.73,0.67,0.62,0.58,0.53,0.49,0.46,0.42,0.39,0.36
Ancient History,93.27,92.84,92.39,91.92,91.41,90.88,90.32,89.73,89.11,88.45,87.76,87.03,86.27,85.47,84.64,83.76,82.84,81.89,80.89,79.85,78.77,77.64,76.48,75.27,74.03,72.74,71.42,70.05,68.65,67.22,65.75,64.25,62.72,61.17,59.59,58,56.38,54.76,53.12,51.48,49.83,48.18,46.54,44.91,43.28,41.67,40.08,38.51,36.96,35.44,33.95,32.48,31.06,29.66,28.31,26.99,25.71,24.47,23.28,22.12,21.01,19.93,18.9,17.91,16.96,16.06,15.19,14.36,13.57,12.81,12.1,11.41,10.76,10.15,9.56,9.01,8.48,7.98,7.51,7.07,6.65,6.25,5.87,5.52,5.19,4.87,4.58,4.3,4.03,3.79,3.55,3.33,3.13,2.93,2.75,2.58,2.42,2.27,2.13,2,1.87
Biology,94.21,93.75,93.26,92.73,92.17,91.56,90.91,90.22,89.48,88.69,87.86,86.97,86.02,85.02,83.95,82.83,81.65,80.41,79.1,77.73,76.29,74.8,73.24,71.62,69.95,68.22,66.43,64.6,62.73,60.82,58.87,56.9,54.9,52.89,50.86,48.84,46.82,44.81,42.81,40.84,38.9,36.99,35.12,33.3,31.53,29.8,28.14,26.53,24.98,23.49,22.07,20.71,19.41,18.17,17,15.88,14.83,13.84,12.9,12.02,11.19,10.41,9.67,8.99,8.35,7.75,7.19,6.67,6.18,5.73,5.3,4.91,4.55,4.21,3.89,3.6,3.33,3.08,2.85,2.63,2.43,2.25,2.07,1.92,1.77,1.63,1.51,1.39,1.29,1.19,1.1,1.01,0.93,0.86,0.8,0.73,0.68,0.62,0.58,0.53,0.49
Business,90.97,90.51,90.02,89.51,88.98,88.43,87.85,87.24,86.62,85.96,85.28,84.57,83.83,83.07,82.28,81.46,80.6,79.72,78.81,77.88,76.91,75.91,74.88,73.83,72.74,71.63,70.49,69.33,68.14,66.93,65.69,64.43,63.15,61.86,60.54,59.21,57.87,56.51,55.15,53.77,52.4,51.01,49.63,48.25,46.87,45.49,44.12,42.76,41.41,40.08,38.75,37.45,36.16,34.89,33.65,32.42,31.22,30.04,28.89,27.77,26.67,25.6,24.56,23.55,22.57,21.62,20.7,19.8,18.94,18.1,17.3,16.52,15.77,15.05,14.35,13.69,13.04,12.43,11.84,11.27,10.73,10.21,9.72,9.24,8.79,8.35,7.94,7.54,7.17,6.81,6.46,6.14,5.83,5.53,5.25,4.98,4.72,4.48,4.25,4.03,3.82
Chemistry,98.21,97.99,97.75,97.48,97.17,96.83,96.45,96.03,95.55,95.03,94.45,93.8,93.08,92.29,91.41,90.45,89.39,88.22,86.95,85.56,84.05,82.42,80.66,78.77,76.74,74.58,72.3,69.89,67.37,64.75,62.03,59.24,56.38,53.48,50.56,47.63,44.72,41.85,39.03,36.28,33.62,31.05,28.6,26.27,24.07,21.99,20.05,18.24,16.55,15,13.57,12.25,11.05,9.95,8.95,8.04,7.21,6.47,5.79,5.19,4.64,4.15,3.71,3.31,2.96,2.64,2.35,2.1,1.87,1.67,1.49,1.32,1.18,1.05,0.93,0.83,0.74,0.66,0.59,0.52,0.47,0.41,0.37,0.33,0.29,0.26,0.23,0.21,0.18,0.16,0.14,0.13,0.11,0.1,0.09,0.08,0.07,0.06,0.06,0.05,0.04
Chinese,91.48,91.02,90.55,90.05,89.53,88.99,88.42,87.83,87.21,86.57,85.89,85.19,84.46,83.7,82.92,82.1,81.25,80.37,79.46,78.52,77.55,76.55,75.51,74.45,73.36,72.24,71.08,69.91,68.7,67.47,66.21,64.93,63.63,62.31,60.97,59.61,58.24,56.86,55.46,54.06,52.65,51.23,49.82,48.4,46.98,45.58,44.17,42.78,41.4,40.03,38.68,37.34,36.03,34.73,33.46,32.21,30.98,29.78,28.61,27.47,26.35,25.27,24.21,23.19,22.19,21.23,20.3,19.4,18.53,17.69,16.88,16.09,15.34,14.62,13.93,13.26,12.62,12.01,11.43,10.86,10.33,9.81,9.32,8.86,8.41,7.98,7.58,7.19,6.82,6.47,6.13,5.81,5.51,5.22,4.95,4.69,4.44,4.21,3.99,3.78,3.57
