,Subject_name,Available,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
2024,Aboriginal and Torres Strait Islander Studies,TRUE,0.19,0.28,0.42,0.64,0.97,1.46,2.18,3.27,4.86,7.17,10.46,15.02,21.09,28.79,37.95,48.05,58.31,67.91,76.19,82.88,87.98
2024,Accounting,TRUE,3.29,4.47,6.05,8.13,10.86,14.35,18.74,24.08,30.38,37.51,45.23,53.19,60.98,68.26,74.74,80.27,84.85,88.51,91.38,93.58,95.25
2024,Aerospace Systems,TRUE,3.09,4.16,5.57,7.44,9.86,12.96,16.86,21.63,27.31,33.84,41.04,48.66,56.33,63.72,70.51,76.5,81.59,85.78,89.14,91.79,93.83
2024,Agricultural Science,TRUE,0.36,0.53,0.78,1.15,1.68,2.46,3.58,5.18,7.43,10.57,14.82,20.38,27.37,35.67,44.94,54.57,63.87,72.23,79.29,84.93,89.24
2024,Ancient History,TRUE,1.87,2.58,3.55,4.87,6.65,9.01,12.1,16.06,21.01,26.99,33.95,41.67,49.83,58,65.75,72.74,78.77,83.76,87.76,90.88,93.27
2024,Arabic,FALSE,,,,,,,,,,,,,,,,,,,,,
2024,Biology,TRUE,0.49,0.73,1.1,1.63,2.43,3.6,5.3,7.75,11.19,15.88,22.07,29.8,38.9,48.84,58.87,68.22,76.29,82.83,87.86,91.56,94.21
2024,Business,TRUE,3.82,4.98,6.46,8.35,10.73,13.69,17.3,21.62,26.67,32.42,38.75,45.49,52.4,59.21,65.69,71.63,76.91,81.46,85.28,88.43,90.97
2024,Chemistry,TRUE,0.04,0.08,0.14,0.26,0.47,0.83,1.49,2.64,4.64,8.04,13.57,21.99,33.62,47.63,62.03,74.58,84.05,90.45,94.45,96.83,98.21
2024,Chinese,TRUE,3.57,4.69,6.13,7.98,10.33,13.26,16.88,21.23,26.35,32.21,38.68,45.58,52.65,59.61,66.21,72.24,77.55,82.1,85.89,88.99,91.48
2024,Chinese Extension,FALSE,,,,,,,,,,,,,,,,,,,,,
2024,Dance,TRUE,1.4,1.85,2.42,3.18,4.16,5.42,7.04,9.1,11.68,14.87,18.76,23.38,28.73,34.76,41.31,48.19,55.14,61.89,68.21,73.93,78.94
2024,Design,TRUE,5.19,6.54,8.21,10.25,12.74,15.71,19.24,23.33,27.99,33.18,38.82,44.77,50.87,56.95,62.82,68.34,73.39,77.89,81.82,85.18,88.02
2024,Digital Solutions,TRUE,2.63,3.61,4.93,6.7,9.06,12.12,16.05,20.94,26.85,33.71,41.34,49.4,57.5,65.21,72.2,78.25,83.3,87.36,90.54,92.99,94.84
2024,Drama,TRUE,1.33,1.81,2.45,3.32,4.47,6,8.01,10.62,13.96,18.12,23.19,29.18,35.99,43.41,51.14,58.81,66.08,72.66,78.39,83.19,87.1
2024,Earth and Environmental Science,TRUE,0.21,0.32,0.49,0.77,1.18,1.82,2.8,4.28,6.49,9.73,14.33,20.61,28.72,38.47,49.24,60.09,70.03,78.38,84.91,89.72,93.13
2024,Economics,TRUE,0.96,1.45,2.19,3.3,4.93,7.32,10.74,15.49,21.81,29.82,39.28,49.62,60,69.55,77.67,84.12,88.97,92.47,94.92,96.61,97.75
2024,Engineering,TRUE,1.64,2.41,3.52,5.13,7.41,10.59,14.92,20.61,27.76,36.26,45.72,55.5,64.87,73.22,80.19,85.7,89.87,92.93,95.11,96.64,97.71
2024,English,TRUE,2.22,3.07,4.22,5.79,7.88,10.64,14.22,18.75,24.32,30.91,38.38,46.44,54.69,62.7,70.06,76.52,81.94,86.33,89.79,92.45,94.46
2024,English and Literature Extension,TRUE,1.27,1.85,2.67,3.85,5.52,7.86,11.07,15.37,20.95,27.88,36.07,45.15,54.57,63.67,71.89,78.87,84.49,88.82,92.06,94.42,96.11
2024,English as an Additional Language,TRUE,0.79,1.19,1.78,2.66,3.96,5.85,8.56,12.35,17.52,24.24,32.53,42.07,52.25,62.24,71.29,78.91,84.93,89.47,92.75,95.07,96.67
2024,Film Television and New Media,TRUE,2.76,3.56,4.58,5.87,7.49,9.52,12.03,15.09,18.75,23.07,28.04,33.62,39.69,46.09,52.63,59.08,65.23,70.91,76,80.45,84.24
2024,Food and Nutrition,TRUE,5.38,6.73,8.4,10.43,12.88,15.8,19.24,23.23,27.75,32.78,38.24,44.02,49.96,55.9,61.68,67.15,72.19,76.72,80.71,84.16,87.09
2024,French,TRUE,0.78,1.23,1.93,3.03,4.72,7.27,11.06,16.46,23.79,33.1,43.95,55.41,66.33,75.74,83.19,88.69,92.55,95.17,96.9,98.02,98.74
2024,General Mathematics,TRUE,4.64,5.9,7.47,9.43,11.83,14.74,18.22,22.3,27,32.28,38.05,44.18,50.49,56.79,62.87,68.57,73.77,78.37,82.36,85.75,88.57
2024,Geography,TRUE,2.69,3.68,5.02,6.82,9.19,12.29,16.24,21.16,27.08,33.95,41.57,49.61,57.67,65.35,72.3,78.32,83.33,87.37,90.54,92.98,94.83
2024,German,TRUE,0.38,0.62,1,1.61,2.58,4.12,6.51,10.16,15.5,22.93,32.56,43.93,55.97,67.34,76.99,84.44,89.8,93.46,95.86,97.41,98.39
2024,German Extension,FALSE,,,,,,,,,,,,,,,,,,,,,
2024,Health,TRUE,4.19,5.37,6.85,8.69,10.99,13.79,17.17,21.17,25.82,31.09,36.89,43.1,49.54,55.99,62.25,68.12,73.47,78.21,82.3,85.77,88.65
2024,Italian,TRUE,2.21,3.14,4.44,6.24,8.72,12.04,16.41,21.97,28.76,36.66,45.36,54.34,63.05,70.99,77.82,83.42,87.83,91.19,93.68,95.51,96.83
2024,Japanese,TRUE,3.02,4.16,5.7,7.76,10.48,14.01,18.49,24,30.54,37.96,46,54.25,62.27,69.68,76.18,81.66,86.11,89.61,92.31,94.36,95.88
2024,Korean,TRUE,6.83,8.72,11.05,13.93,17.4,21.52,26.3,31.72,37.68,44.04,50.61,57.15,63.45,69.32,74.63,79.29,83.29,86.64,89.41,91.66,93.47
2024,Legal Studies,TRUE,5.06,6.55,8.44,10.81,13.74,17.32,21.6,26.6,32.28,38.53,45.18,52.01,58.77,65.21,71.14,76.43,81,84.86,88.06,90.65,92.73
2024,Literature,TRUE,0.82,1.23,1.83,2.72,4.02,5.91,8.61,12.38,17.48,24.11,32.27,41.68,51.73,61.65,70.68,78.33,84.43,89.05,92.42,94.82,96.48
2024,Marine Science,TRUE,0.65,0.95,1.38,2,2.89,4.17,5.97,8.49,11.93,16.51,22.4,29.65,38.09,47.32,56.74,65.69,73.65,80.32,85.63,89.69,92.7
2024,Mathematical Methods,TRUE,3.16,4.46,6.26,8.72,12.01,16.34,21.83,28.54,36.35,44.95,53.87,62.55,70.49,77.35,83.01,87.48,90.9,93.46,95.33,96.69,97.66
2024,Modern History,TRUE,1.47,2.07,2.91,4.07,5.66,7.84,10.75,14.57,19.45,25.49,32.64,40.69,49.28,57.92,66.09,73.41,79.63,84.7,88.69,91.74,94.02
2024,Music,TRUE,1.58,2.14,2.88,3.87,5.19,6.92,9.18,12.07,15.72,20.22,25.61,31.86,38.85,46.33,53.97,61.43,68.39,74.62,79.97,84.44,88.05
2024,Music Extension (Composition),TRUE,1.74,2.33,3.11,4.15,5.5,7.26,9.53,12.41,16.01,20.41,25.65,31.69,38.43,45.65,53.05,60.32,67.16,73.34,78.73,83.27,87.01
2024,Music Extension (Performance),TRUE,1.1,1.49,2.01,2.71,3.65,4.9,6.54,8.68,11.43,14.91,19.23,24.44,30.52,37.37,44.77,52.41,59.93,67.02,73.41,78.94,83.59
2024,Philosophy and Reason,TRUE,1.71,2.47,3.56,5.1,7.25,10.22,14.22,19.44,26,33.84,42.69,52.03,61.23,69.69,77,82.98,87.65,91.18,93.77,95.63,96.96
2024,Physical Education,TRUE,3.18,4.12,5.32,6.84,8.76,11.16,14.11,17.69,21.94,26.88,32.47,38.6,45.13,51.82,58.45,64.79,70.65,75.89,80.46,84.34,87.57
2024,Physics,TRUE,0.08,0.13,0.23,0.4,0.69,1.2,2.08,3.57,6.06,10.12,16.42,25.53,37.42,51.05,64.54,76.05,84.71,90.62,94.4,96.71,98.09
2024,Psychology,TRUE,0.54,0.79,1.16,1.69,2.46,3.57,5.16,7.39,10.47,14.65,20.11,26.97,35.14,44.28,53.83,63.11,71.5,78.64,84.37,88.79,92.08
2024,Spanish,TRUE,3.31,4.48,6.05,8.11,10.79,14.23,18.53,23.77,29.95,36.95,44.55,52.42,60.17,67.44,73.95,79.56,84.22,87.98,90.94,93.22,94.96
2024,Specialist Mathematics,TRUE,1,1.58,2.47,3.86,5.97,9.12,13.7,20.07,28.42,38.58,49.83,61.11,71.3,79.71,86.14,90.77,93.96,96.09,97.49,98.4,98.98
2024,Study of Religion,TRUE,1.57,2.23,3.14,4.41,6.17,8.57,11.78,15.98,21.32,27.85,35.48,43.92,52.74,61.38,69.37,76.34,82.13,86.75,90.32,93,94.98
2024,Vietnamese,TRUE,2.13,2.83,3.77,5,6.6,8.66,11.3,14.61,18.68,23.58,29.3,35.76,42.77,50.1,57.41,64.42,70.86,76.56,81.43,85.49,88.78
2024,Visual Art,TRUE,4.58,5.8,7.32,9.21,11.51,14.3,17.64,21.55,26.06,31.14,36.72,42.68,48.86,55.07,61.13,66.86,72.13,76.86,80.99,84.54,87.52
2023,Aboriginal and Torres Strait Islander Studies,TRUE,0.19,0.28,0.43,0.66,1.01,1.53,2.32,3.51,5.27,7.84,11.52,16.61,23.35,31.79,41.63,52.17,62.53,71.85,79.61,85.66,90.14
2023,Accounting,TRUE,3.89,5.24,7.02,9.35,12.34,16.12,20.79,26.38,32.85,40.04,47.7,55.46,62.96,69.89,76.02,81.23,85.52,88.97,91.68,93.77,95.36
